district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
5.0,25350,1,58.0,10,3,3.0,0.0,16.0,28.0
3.0,15000,2,76.0,6,3,2.0,0.0,16.0,41.0
3.0,21450,2,95.0,8,3,2.0,1.0,16.0,43.0
5.0,16000,1,47.0,9,3,2.0,0.0,16.0,26.0
4.0,16000,1,50.0,3,3,2.0,0.0,16.0,27.0
5.0,17550,1,50.0,5,3,2.0,0.0,16.0,27.0
5.0,15600,1,42.0,3,3,2.0,0.0,16.0,26.0
5.0,21450,2,67.0,9,3,2.0,0.0,15.0,40.0
5.0,15500,1,47.0,3,3,2.0,0.0,16.0,26.0
5.0,17550,1,48.0,6,3,2.0,0.0,16.0,26.0
6.0,17000,3,100.0,4,3,2.0,0.0,16.0,55.0
2.0,19000,2,60.0,11,3,2.0,0.0,15.0,39.0
5.0,21450,1,51.0,9,3,3.0,0.0,16.0,27.0
5.0,17550,2,75.0,2,3,2.0,0.0,16.0,41.0
1.0,39000,2,75.0,4,3,3.0,0.0,16.0,41.0
5.0,14000,2,65.0,1,3,2.0,0.0,15.0,40.0
5.0,19500,1,45.0,7,3,3.0,0.0,16.0,26.0
4.0,19000,1,45.0,10,3,2.0,0.0,16.0,26.0
4.0,14000,2,64.0,6,3,2.0,0.0,15.0,40.0
6.0,13650,1,55.0,10,3,2.0,0.0,16.0,27.0
5.0,27300,2,68.0,4,3,3.0,0.0,15.0,40.0
3.0,15600,1,54.0,9,3,2.0,0.0,16.0,27.0
4.0,14000,1,45.0,2,3,2.0,0.0,16.0,26.0
5.0,19500,2,70.0,3,3,2.0,0.0,16.0,40.0
3.0,27300,2,119.0,10,3,3.0,1.0,17.0,45.0
2.0,19500,1,48.0,3,3,3.0,0.0,16.0,26.0
5.0,12500,1,45.0,5,3,2.0,0.0,16.0,26.0
3.0,58500,4,209.0,3,3,3.0,0.0,19.0,78.0
5.0,13000,1,46.0,2,3,2.0,0.0,16.0,26.0
6.0,15000,1,44.0,6,3,2.0,0.0,16.0,26.0
3.0,35100,4,130.0,6,3,2.0,0.0,16.0,69.0
3.0,23400,2,56.0,7,3,2.0,0.0,15.0,39.0
3.0,19500,2,57.0,4,3,2.0,0.0,15.0,39.0
2.0,21450,1,43.0,4,3,2.0,0.0,16.0,26.0
5.0,25350,2,70.0,11,3,3.0,0.0,16.0,40.0
2.0,25350,2,80.0,4,3,3.0,0.0,16.0,41.0
2.0,25350,1,55.0,4,3,2.0,0.0,16.0,27.0
5.0,35100,3,100.0,3,3,2.0,0.0,16.0,55.0
5.0,27300,2,94.0,11,3,2.0,1.0,16.0,43.0
5.0,14000,1,42.0,2,3,2.0,0.0,16.0,26.0
3.0,20670,2,75.0,5,3,2.0,0.0,16.0,41.0
4.0,15000,1,42.0,4,3,2.0,0.0,16.0,26.0
3.0,27300,3,119.0,10,3,2.0,0.0,16.0,57.0
3.0,27300,1,46.0,9,3,3.0,0.0,16.0,26.0
3.0,17550,2,65.0,8,3,2.0,0.0,15.0,40.0
3.0,14000,2,60.0,5,3,2.0,0.0,15.0,39.0
3.0,17500,1,45.0,2,3,2.0,0.0,16.0,26.0
5.0,46800,3,112.0,5,3,3.0,0.0,16.0,56.0
5.0,15000,1,49.0,10,3,2.0,0.0,16.0,27.0
3.0,23400,1,47.0,6,3,3.0,0.0,16.0,26.0
3.0,19500,1,50.0,4,3,3.0,0.0,16.0,27.0
1.0,21450,2,80.0,4,3,3.0,0.0,16.0,41.0
3.0,23400,1,50.0,4,3,3.0,0.0,16.0,27.0
5.0,39000,2,84.0,4,3,2.0,0.0,16.0,42.0
3.0,23400,1,52.0,4,3,3.0,0.0,16.0,27.0
1.0,19500,2,60.0,6,3,2.0,0.0,15.0,39.0
3.0,16000,1,50.0,5,3,2.0,0.0,16.0,27.0
3.0,21450,4,227.0,5,3,2.0,0.0,19.0,80.0
5.0,19500,1,55.0,5,3,2.0,0.0,16.0,27.0
5.0,13500,1,44.0,6,3,2.0,0.0,16.0,26.0
3.0,19500,1,51.0,6,3,3.0,0.0,16.0,27.0
5.0,15600,1,48.0,4,3,2.0,0.0,16.0,26.0
3.0,20000,2,70.0,8,3,2.0,0.0,16.0,40.0
5.0,15600,1,61.0,9,3,2.0,0.0,16.0,28.0
2.0,19500,2,80.0,2,3,3.0,0.0,16.0,41.0
5.0,17550,1,43.0,7,3,2.0,0.0,16.0,26.0
3.0,25350,2,59.0,7,3,3.0,0.0,15.0,39.0
5.0,29250,2,70.0,8,3,3.0,0.0,16.0,40.0
4.0,18000,1,48.0,9,3,2.0,0.0,16.0,26.0
5.0,13000,1,48.0,2,3,2.0,0.0,16.0,26.0
3.0,15600,2,65.0,1,3,2.0,0.0,15.0,40.0
3.0,19500,2,75.0,6,3,2.0,0.0,16.0,41.0
3.0,14000,1,42.0,6,3,2.0,0.0,16.0,26.0
4.0,15000,1,48.0,3,3,2.0,0.0,16.0,26.0
5.0,15000,1,42.0,2,3,2.0,0.0,16.0,26.0
3.0,23400,2,75.0,6,3,3.0,0.0,16.0,41.0
3.0,19500,1,44.0,13,3,2.0,0.0,16.0,26.0
2.0,19500,1,45.0,13,3,2.0,0.0,16.0,26.0
5.0,15600,2,54.0,6,3,2.0,0.0,15.0,39.0
4.0,14000,1,46.0,5,3,2.0,0.0,16.0,26.0
1.0,21450,2,65.0,2,3,2.0,0.0,15.0,40.0
5.0,27300,3,114.0,2,3,3.0,0.0,16.0,56.0
3.0,35100,2,84.0,7,3,3.0,0.0,16.0,42.0
5.0,17550,2,56.0,3,3,2.0,0.0,15.0,39.0
1.0,19500,1,48.0,8,3,3.0,0.0,16.0,26.0
4.0,13650,2,70.0,3,3,2.0,0.0,16.0,40.0
4.0,19500,1,70.0,6,3,3.0,1.0,17.0,29.0
3.0,23400,2,65.0,8,3,2.0,0.0,15.0,40.0
3.0,25350,3,80.0,4,3,3.0,0.0,15.0,53.0
6.0,21450,2,60.0,7,3,2.0,0.0,15.0,39.0
2.0,23400,1,51.0,4,3,3.0,0.0,16.0,27.0
5.0,19000,2,70.0,6,3,2.0,0.0,16.0,40.0
3.0,58500,3,180.0,8,3,3.0,0.0,18.0,63.0
6.0,15000,2,65.0,7,3,2.0,0.0,15.0,40.0
4.0,58500,3,146.0,9,3,3.0,0.0,17.0,60.0
5.0,19500,1,52.0,5,3,2.0,0.0,16.0,27.0
5.0,19500,2,65.0,2,3,2.0,0.0,15.0,40.0
5.0,19500,1,47.0,2,3,2.0,0.0,16.0,26.0
5.0,17550,1,43.0,11,3,2.0,0.0,16.0,26.0
6.0,21450,2,56.0,7,3,2.0,0.0,15.0,39.0
1.0,16000,1,50.0,2,3,2.0,0.0,16.0,27.0
2.0,25350,2,70.0,4,3,3.0,0.0,16.0,40.0
3.0,15600,1,55.0,9,3,2.0,0.0,16.0,27.0
4.0,21450,2,75.0,7,3,3.0,0.0,16.0,41.0
3.0,21450,2,56.0,1,3,3.0,0.0,15.0,39.0
2.0,46800,2,110.0,7,3,3.0,0.0,17.0,44.0
5.0,31200,2,78.0,5,3,3.0,0.0,16.0,41.0
4.0,15000,3,70.0,3,3,2.0,0.0,15.0,52.0
2.0,12000,1,46.0,6,3,2.0,0.0,16.0,26.0
3.0,12000,1,46.0,5,3,2.0,0.0,16.0,26.0
1.0,50700,2,100.0,7,3,3.0,0.0,17.0,43.0
5.0,21450,1,51.0,10,3,3.0,0.0,16.0,27.0
4.0,13000,1,45.0,4,3,2.0,0.0,16.0,26.0
